title|composer|chrds|prnt|mp3|rank|year|rb|nrb|srb|aebersold|irb|irbg|
East Of The Sun (And West Of The Moon)|||||125|1934|3|||071,107,118,|||
Easter Parade|||||662|1933|1||||||
Easy Does It|||||949|1940|||||||
Easy Living|Ralph Rainger||||80|1937|1-129|||022,052,059,|y||
Easy Street|Alan Jones||||||||||y||
Easy To Love|Cole Porter||||122|1936|1-130||y|112,117,|y||
Ecclusiastics|||||||1-131||||||
Echoes Of Harlem|||||969|1936|||||||
Echos Of France||||||||||||y|
Eclypso|||||||2-83||||||
Eel's Nephew, The||||||||||||y|
Eiderdown|Steve Swallow||||||1-132||||y||
Eighty One|Ron Carter||||||1-134||||y||
Einbahnstrasse|||||||2-92||||||
El Cajon|Johnny Mandel||||||||||y||
El Gaucho|Wayne Shorter||||||1-135||||y||
Elena's Bossa||||||||||||y|
Elizete|||||||1-136||||||
Elora|J.J. Johnson||||||2-84||||y||
Emanon|||||||3-73||||||
Embraceable You|George Gershwin||||24|1930|2-85||y|051,110,113,|y||
Emily|Johnny Mandel||||506|1964|3-74|3||052,|y||
Empathy|||||||1-137||||||
Enchance|||||||2-86||||||
End Of A Love Affair|Edward Redding|y|y|y|392|1950|3-75|||093,|y||
Endlessly|||||||3-76||||||
Envie De Toi||||||||||||y|
Epilogue|||||||2-87||||||
Epistrophy|Thelonious Monk, Kenny Clarke||||346|1942|1-138|||056,|y||
Equinox|John Coltrane|||y|903|1960|1-139|2||h,|y||
Equipoise|||||||1-140||||||
Eronel|Thelonious Monk||||||||||y||
Erster Tango||||||||||||y|
Esp|||||||1-141||||||
Estate|Bruno Martino||||720|1960|3-78|||094,|y||
Etemal Triangle|||||||3-79||||||
Eternal Triangle|Sonny Stitt||||||||||y||
Ev'ry Time We Say Goodbye|Cole Porter||||220|1944|3-80||||y||
Ev'rything I Love|||||773|1941|3|||112,|||
Ev'rything I've Got (Belongs To You)|||||842|1942|||||||
Evening In Concert|||||||2-88||||||
Every Day I Have The Blues|||||976|1950|||||||
Every Tub|||||931|1938|||||||
Everybody Loves My Baby|||||507|1924|||||||
Everybody's Song But My Own|Kenny Wheeler||||||||||y||
Everything But You|||||811|1945|||||||
Everything Happens To Me|Matt Dennis||||102|1941|3-82|1||023,|y||
Everything I Have Is Yours|Burton Lane||||579|1933|2-89|3||072,|y||
Everything I Love|Cole Porter||||||3-83||||y||
Everything I've Got Belongs To You|Rodgers-Hart||||||||||y||
Everything Must Change|||||761|1974|||y||||
Evidence|Thelonious Monk||||497|1948|||||y||
Exactly Like You|Jimmy McHugh||||113|1930|3|2|||y||
Exercise #3|||||||1-142||||||
Exercise #6|||||||1-143||||||
Exodus|||||822|1960|||||||
Eye Of The Hurricane|||||||2-90||||||
Ezz-thetic|||||||2-91||||||
Fables Of Faubus|||||||1-144||||||
Fall|Wayne Shorter||||||1-146||||y||
Falling Grace|Steve Swallow||||||1-147||||y||
Falling In Love Again|Frederick Hollander||||||||||y||
Falling In Love With Love|Richard Rodgers||||289|1938|1-148||y|071,118,|y||
Fanhandle Hook|||||||3-232||||||
Fantaisie||||||||||||y|
Fantasy In D|or Ugetsu) ||||||||||y||
Farewell Blues|||||413|1922||||||y|
Fascinating Rhythm|George Gershwin||||329|1924|||y||y||
Fascination|Fernando-Dante Marchetti||||||||||y||
Fate||||||||||||y|
Father|||||||3-84||||||
Favela|Antonio-Carlos Jobim||||||3-85||||y||
Fee-fi-fo-fum|Wayne Shorter||||||1-149||||y||
Feel Like Makin' Love|Eugene McDaniels||||||||||y||
Feelings And Things|||||||1-150||||||
Feels So Good|Chuck Mangione||||||2-94||||y||
Fell Like Makin' Love|||||||3-86||||||
Festival 48||||||||||||y|
Fever|Davenport-Cooley||||856|1956|2||||y||
Fidgety Feet|||||823|1919|||||||
Fields We Know, The|||||||1-151||||||
Fill In Guitar||||||||||||y|
Fine And Dandy|Kay Swift||||358|1930|||||y||
Fine And Mellow|Billie Holiday||||941|1940|3||||y||
First Moves|||||||2-96||||||
First Trip|||||||2-97||||||
Fiso Place||||||||||||y|
Five Brothers|Gerry Mulligan||||||2-98||||y||
Five Hundred Miles High|||||||1-152||||||
Five O'clock Whistle|||||803|1940|||||||
Five Spot After Dark|||||||2-104||||||
Flags|||||||1-156||||||
Flambee Montalbanaise||||||||||||y|
Flambee Montalbanaise A||||||||||||y|
Flambee Montalbanaise B||||||||||||y|
Flamingo|Ted Grouya||||146|1941||2||049,|y||
Flat Foot Floogie, The|||||809|1938|||||||
Fleche D'or||||||||||||y|
Fleur D'ennui||||||||||||y|
Fleur De Lavende||||||||||||y|
Flim Flam|||||||2-99||||||
Flintstone's Theme|||||||2-100||||||
Flintstones|Hoyt Curtain||||||||||y||
Flower Is A Lonesome Thing, A|||||||2-101||||||
Fly By Night|||||||2-102||||||
Fly Me To The Moon|Bart Howard|y|y|y|352|1954|2-106|2||065,|y||
Flying Home|Goodman-Hampton||||256|1940|2-105||||y||
Folie A Amphion||||||||||||y|
Folks Who Live On The Hill, The|Jerome Kern||||471|1937|2||||y||
Follow Your Heart|||||||1-154||||||
Fools Rush In|Rube Bloom||||||2-107||||y||
Fools Rush In (Where Angels Fear To Tread)|||||460|1940||||041,097,107,|||
Footprints|Wayne Shorter||||618|1966|1-157|1||033,054,|y||
For All We Know|Fred Coots||||111|1934|1|3|||y||
For Babs||||||||||||y|
For Heaven's Sake|Edwards-Meyer-Bretton||||456|1946|1|||089,|y||
For Heavens Sake|||||||1-159||||||
For Heavens' Sake|||||||3-87||||||
For Jan|Kenny Wheeler||||||||||y||
For Minors Only|||||||2-108||||||
For Once In My Life|Orlando Murden||||||||||y||
For Sentimental Reasons|William Best||||863|1945|1||||y||
For Sephora||||||||||||y|
For You|||||723|1930|||||||
For You, For Me, For Evermore|George Gershwin||||||||||y||
Forest Flower|Charles Lloyd||||||1-158||||y||
Forever Sonny|Jimmy Heath||||||||||y||
Fortune Smiles|||||||1-160||||||
Four|Miles Davis||||537|1954|1-161|1||i,007,065,067,|y||
Four Brothers|Jimmy Giuffre||||942|1948|2-109|1||046,|y||
Four In One|Thelonious Monk||||||||||y||
Four On Six|Wes Montgomery||||||1-162||||y||
Four Or Five Times|||||741|1927|||||||
Four Winds|||||||1-163||||||
Fox Hunt|||||||2-110||||||
Fox-musette N301||||||||||||y|
Frankie And Johnny|||||514|Trad.||||||y|
Freckle Face|Sammy Nestico||||||||||y||
Freddie Freeloader|Miles Davis||||||||||y||
Freddie Froo|||||||2-111||||||
Freddie The Freeloader|||||||1-164||||||
Free|||||||2-116||||||
Free Cell Block "f", Tis Nazi Usa|||||||2-112||||||
Freedom Jazz Dance|||||||1-165||||||
Freight Train|Tommy Flanagan||||||||||y||
Freight Trane|||||||3-88||||||
French Waltz|||||||3-89||||||
Frenesi|Alberto Dominguez||||438|1939|||||y||
Friday The 13th|Thelonious Monk||||||3-90||||y||
Frim Fram Sauce, The|Joe Richardel||||||||||y||
Frolic (Curb Your Enthusiasm)||||||||||||y|
From Now On|||||||3-91||||||
From The Heart|||||||3-92||||||
From This Moment On|Cole Porter||||390|1950|3-94||y|112,117,|y||
Full House|Wes Montgomery||||||||||y||
Full Moon And Empty Arms|||||||3-95||||||
Funk Dumplin|||||||2-104||||||
Funk In Deep Freeze|Hank Mobley||||||||||y||
Funkallero|Bill Evans||||||3-96||||y||
Funky|||||||2-116||||||
Games People Play|||||||2-117||||||
Gary's Notebook|Lee Morgan||||||||||y||
Gary's Waltz|||||||1-166||||||
Gaviota|||||||3-98||||||
Gee Baby Ain't I Good To You|||||150|1929|1|1||123,|||
Gee Baby, Ain't I Good To You|Don Redman||||||||||y||
Gemini|||||||1-167||||||
General Mojo's Well Laid Plan|||||||1-168||||||
Gentle Rain|Luiz Bonfa||||||2-122||||y||
Gentle Wind And Falling Tear|||||||2-118||||||
Georgia|||||||2-119||||||
Georgia On My Mind|Hoagy Carmichael|y|y|y|44|1930|2|||049,|y||
Get Happy|Harold Arlen||||169|1929|3|2|||y||
Get Me To The Church On Time|Alan Lerner||||||||||y||
Get Out Of Town|Cole Porter||||410|1938|2-120||y|112,117,|y||
Gettin' It Togetha'|||||||2-117||||||
Ghost Of A Chance, A|||||||2-121||||||
Giant Steps|John Coltrane|y|y|y|254|1959|1-170|2||028,065,068,075,|y||
Girl From Ipanema, The|Antonio-Carlos Jobim||||479|1963|1-171||y|031,070,090,098,|y||
Girl Talk|Neal Hefti||||611|1965|2-122||||y||
Give Me The Simple Life|Rube Bloom||||||||||y||
Glad To Be Unhappy|Rodgers-Hart||||825|1936|3||||y||
Gloomy Sunday|||||674|1936|||||||
Gloria's Step|Scott LaFaro||||||1-172||||y||
Glory Of Love, The|Billy Hill||||897|1936|3||||y||
Gnu Blu|||||||3-97||||||
God Bless The Child|Herzog-Holiday||||170|1941|1-173||||y||
God Rest Ye Merry Gentlemen|||||729|Trad.||||125,|||
Godchild|George Wallington||||||3-100||||y||
Godfather Theme (Speak Softly Love)||||||||||||y|
Goin' Out Of My Head|||||883|1964|||||||
Goin' To Chicago Blues|||||535|1941|||||||
Golden Earring|Jay Livingston||||||||||y||
Golden Lady|||||||1-174||||||
Golden Notebooks|||||||2-124||||||
Gone With The Wind|Allie Wrubel||||143|1937|3-101|1||058,|y||
Good Bait|Tadd Dameron||||277|1944|2-123||y|065,099,|y||
Good Evening Mr And Mrs America|||||||1-176||||||
Good Life, The|Sacha Distel||||470|1962|||y||y||
Good Morning Heartache|Drake-Fisher-Higginbotham||||316|1945|3|1|||y||
Good Old Days (Little Rascals)||||||||||||y|
Goodbye|Gordon Jenkins||||117|1935|3-102|||094,|y||
Goodbye Pork Pie Hat|Charles Mingus||||610|1959|||||y||
Goodbye Porkpie Hat|||||||1-175||||||
Goodnight My Love|||||743|1936|||||||
Got A Match|Chick Corea||||||3-103||||y||
Grand Central|John Coltrane||||||1-178||||y||
Gravy Waltz, The|Ray Brown||||||||||y||
Green Chimneys|Thelonious Monk||||||||||y||
Green Dolphin Street||y|y|y|25|1947|1-179|3||034,059,081,085,090,093,118,|||
Green Eyes (Aquellos Ojos Verdes)|||||745|1929|3||||||
Green Mountains|||||||1-180||||||
Greensleeves|||||403|Trad.||||125,|||
Gregory Is Here|Horace Silver||||||2-126||||y||
Groove Merchant|||||||2-128||||||
Groove Yard|||||||2-129||||||
Groovin' Fish|||||||1-181||||||
Groovin' High|Dizzy Gillespie||||186|1944|1|||i,043,|y||
Groovy Samba|||||||2-130||||||
Grow Your Own|||||||1-182||||||
Guilty|||||759|1931|1||||||
Gypsy Dreams||||||||||||y|
Gypsy Fire||||||||||||y|
Gypsy Fire 1||||||||||||y|
H & H|||||||3-112||||||
Hackensack|Thelonious Monk||||||||||y||
Half Nelson|Miles Davis||||894|1948|1-184|||005,|y||
Hallelujah|||||384|1927||||||y|
Hallucinations|Bud Powell||||||||||y||
Happiness Is A Thing Called Joe|||||721|1942|||||||
Happy Little Sunbeam|Russ Freeman||||||||||y||
Harlem Nocturne|||||807|1943|3-104|2|||||
Harvard Blues|||||994|1942|||||||
Hassan's Dream|||||||1-185||||||
Haunted Heart|Arthur Schwartz||||880|1948|3||||y||
Have You Met Miss Jones|Richard Rodgers||||222|1937|1-186||y|025,074,|y||
Have Yourself A Merry Little Christmas|||||457|1944||||078,|||
Hcq Strut||||||||||||y|
He's A Tramp|Lee-Burke||||||||||y||
Heart And Soul|Hoagy Carmichael||||815|1938|3||||y||
Heartsong|||||||3-106||||||
Heat Wave|||||959|1933|3|3|||||
Heatwave|Irving Berlin||||||||||y||
Heaven|||||||1-187||||||
Heavy Artillery||||||||||||y|
Hello Dolly|Jerry Herman||||758|1964|||||y||
Hello Young Lovers|Richard Rogers||||928|1951|1||||y||
Hello, Young Lovers|||||||1-188||||||
Henninger Flats|||||||1-190||||||
Here's That Rainy Day|Jimmy Van-Heusen||||100|1953|1-191|1||023,|y||
Here's To Life|Artie Butler||||||||||y||
Herzog|||||||1-192||||||
Hey There|||||||1-194||||||
Heyoke|Kenny Wheeler||||||||||y||
High Fly|Randy Weston||||||||||y||
High Hopes|Jimmy Van-Heusen||||||3-108||||y||
High Wire The Aerialist|||||||3-110||||||
Hold Out Your Hand|||||||1-195||||||
Home Cookin'|Horace Silver||||||||||y||
Homecoming|Dave Holland||||||||||y||
Honeysuckle Rose|Fats Waller||||15|1929|2|2||071,|y||
Hot House|Tadd Dameron||||383|1945|3-113||y|094,099,|y||
Hot Lips||||||||||||y|
Hotel Hello|||||||1-198||||||
Hotel Overture|||||||1-196||||||
Hotel Vamp|||||||1-197||||||
Hour Of Parting, The|||||779|1931|||||||
House Of Jade|Wayne Shorter||||||1-201||||y||
How About You|Burton Lane||||450|1941|3-114|||020,|y||
How Am I To Know|||||582|1929|||||||
How Are Things In Glocca Morra|Burton Lane||||||||||y||
How Come You Do Me Like You Do|||||690|1924|||||||
How Deep Is The Ocean|Irving Berlin||||49|1932|3-115||||y||
How High The Moon|Morgan Lewis|y|y|y|21|1940|1-202|||006,118,|y||
How Insensitive|Antonio-Carlos Jobim||||552|1963|1-203||y|031,098,|y||
How Long Has This Been Going On|George Gershwin||||213|1927|3-116||y|051,|y||
How Long, How Long Blues|||||559|1929|||||||
How My Heart Sings|Earl Zindars||||||1-204||||y||
Hullo, Bolinas|||||||1-205||||||
Humoresque|||||668|1894|||||||
Humpty Dumpty|Chick Corea||||||||||y||
Hungaria|Django Reinhardt||||||||||y|y|
I Ain't Got Nobody|Graham-Williams||||||||||y||
I Ain't Got Nobody (And Nobody Cares For Me)|||||415|1915|3||||||
I Ain't Got Nothin' But The Blues|||||888|1944|3||||||
I Believe In You|Frank Loesser||||963|1961|2-150|2|||y||
I Can't Believe That You're In Love With Me|||||166|1926|3||||||
I Can't Believe...you're In Love...|Jimmy McHugh||||||||||y||
I Can't Escape From You|||||726|1936|||||||
I Can't Get Started|Vernon Duke|y|y|y|5|1935|1-208||y|025,074,110,113,118,|y||
I Can't Give You Anything But Love|Jimmy McHugh||||162|1928|1|||089,|y||
I Can't Stop Loving You|||||920|1958|||||||
I Concentrate On You|Cole Porter||||290|1939|3-118||y|112,117,|y||
I Could Have Danced All Night|Frederick Loewe||||841|1956|3||||y||
I Could Write A Book|Richard Rodgers||||455|1940|1-209||y|025,110,113,|y||
I Cover The Waterfront|Johnny Green||||50|1933|2-152||y|040,097,107,|y||
I Cried For You|Freed-Arnheim-Lyman||||245|1923|3||||y||
I Didn't Know About You|Duke Ellington||||500|1944|||y|048,|y||
I Didn't Know What Time It Was|Richard Rodgers||||82|1939|3-117||y|110,113,|y||
I Don't Know Enough About You|Peggy Lee||||||||||y||
I Don't Know Why (I Just Do)|||||464|1931|3||||||
I Don't Stand A Ghost Of A Chance|Young-Crosby-Washington||||||||||y||
I Don't Want To Miss Mississippi|Serger Ellis||||||||||y||
I Fall In Love Too Easily|Jule Styne||||300|1944|3-120|3||059,123,|y||
I Found A New Baby|Palmer-Williams||||||||||y||
I Get A Kick Out Of You|Cole Porter||||139|1934|2-158||y|051,112,|y||
I Get Along Without You|Hoagy Carmichael||||||||||y||
I Get Along Without You Very Well|||||661|1939|2||||||
I Got It Bad|Duke Ellington||||||||||y||
I Got It Bad (And That Ain't Good)|||||61|1941|1|3||048,|||
I Got It Bad ,|||||||1-213||||||
I Got Rhythm|George Gershwin||||73|1930|||y|006,007,008,020,047,051,|y||
I Got The Sun In The Morning|Irving Berlin||||||||||y||
I Gotta Right To Sing The Blues|Harold Arlen||||528|1932|3||y||y||
I Guess I'll Hang My Tears Out To Dry|Jule Styne||||||||||y||
I Guess I'll Have To Change My Plan|Arthur Schwartz||||753|1929|||y||y||
I Hadn't Anyone Till You|Ray Noble||||286|1938||2||058,|y||
I Hear A Rhapsody|Fragos-Baker-Gasparre||||227|1940|2-160|3||080,085,|y||
I Hear Music|Burton Lane||||414|1940|3||||y||
I Know That You Know|||||285|1926||||040,|||
I Left My Heart In San Francisco|George Cory||||971|1954|3-121|||034,|y||
I Let A Song Go Out Of My Heart|Duke Ellington||||152|1938|1-214|||012,|y||
I Like The Likes Of You|Vernon Duke||||||||||y||
I Love Paris|Cole Porter||||553|1953|1||y||y||
I Love You|Cole Porter|y|y|y|119|1944|1-215||y|025,112,117,|y|y|
I Loves You Porgy|George Gershwin||||270|1935|3-128||y||y||
I May Be Wrong|Henry Sullivan||||626|1929|||y||y||
I Mean You|Thelonious Monk||||625|1947|1-219|1||036,056,|y||
I Must Have That Man|||||564|1928|||||||
I Need You Here|||||||3-122||||||
I Never Knew|||||303|1925|||||||
I Only Have Eyes For You|Harry Warren||||191|1934|||y|110,113,|y||
I Remember Clifford|Benny Golson||||138|1957|1-235|||014,|y||
I Remember You|Victor Schertzinger|y|y|y|116|1942|2-169|||022,|y||
I Saw Stars||||||||||||y|
I Say A Little Prayer For You|Burt Bacharach||||||||||y||
I See Your Face Before Me|Arthur Schwartz||||902|1937|||||y||
I Should Care|Cahn-Stordahl-Weston||||47|1944|1-237|1||i,023,|y||
I Surrender Dear|Harry Barris||||95|1931|||||y||
I Thought About You|Jimmy Van-Heusen||||108|1939|2-174|1||041,107,110,113,|y||
I Used To Be Color Blind|Irving Berlin||||||||||y||
I Waited For You|||||866|1946|||||||
I Wanna Be Loved By You||||||||||||y|
I Want A Little Girl|||||360|1930|||||||
I Want To Be Happy|Vincent Youmans||||215|1924|||y||y||
I Want To Talk About You|Billy Eckstine||||905|1946|||||y||
I Was Doing All Right|George Gershwin||||||||||y||
I Will Wait For You|Michel Legrand||||||2-179||||y||
I Wish I Knew|Harry Warren||||312|1945||||071,|y||
I Wish I Knew How It Would Feel To Be Free|Billy Taylor||||||||||y||
I Wish I Were In Love Again|Richard Rodgers||||||||||y||
I Wish You Love|Charles Trenet||||984|1946|3-124||||y||
I Wished On The Moon|||||386|1935|3||||||
I Won't Dance|Jerome Kern||||999|1935|3||||y||
I Wonder Where My Baby Is Tonight||||||||||||y|
I'll Be Around|Alec Wilder||||272|1942|3-126|2|||y||
I'll Be Seeing You|Sammy Fain||||453|1938|3-129||||y||
I'll Close My Eyes|Reid-Kaye||||865|1945|3-130||||y||
I'll Get By|As Long As I Have You) ||||||||||y||
I'll Get By (As Long As I Have You)|||||531|1928|3|2|||||
I'll Never Be The Same|Khan-Malneck-Signorelli||||210|1932|||||y||
I'll Never Smile Again|||||428|1939|1|||||y|
I'll Remember April|Raye-DePaul|y|y|y|29|1941|1-218|||043,|y||
I'll See You In My Dreams|Jones-Kahn|y|y|y|473|1924|||||y||
I'll String Along With You|||||844|1934|||||||
I'll Take Romance|Ben Oakland||||672|1937|3-131|1||058,|y||
I'll Walk Alone|||||735|1944|||||||
I'm A Fool To Want You|Herron-Sinatra-Wolf||||319|1951|2-161||y|051,|y||
I'm Afraid|||||||1-6||||||
I'm All Smiles|Leonard-Martin||||||1-216||||y||
I'm Always Chasing Rainbows|Harry Carroll||||||||||y||
I'm An Old Cowhand||||||||||||y|
I'm An Old Cowhand (From The Rio Grande)|||||896|1936||||041,|||
I'm Beginning To Se The Light||||||||||||y|
I'm Beginning To See The Light|Hodges-James-Ellington||||229|1944|1||||y||
I'm Coming Virginia|||||226|1927|||||||
I'm Confessin' That I Love You|||||258|1930|2|||058,|||
I'm Crazy 'bout My Baby|||||686|1931|||||||
I'm Forever Blowing Bubbles||||||||||||y|
I'm Gettin' Sentimental Over You|||||||2-163||||||
I'm Getting Sentimental Over You|George Bassman|y|y|y|176|1933||||052,|y||
I'm Glad There Is You|Jimmy Dorsey||||357|1941|3-132|2||046,|y||
I'm Gonna Sit Right Down And Write Myself A Letter|Fred Ahlert||||515|1935|||||y||
I'm Gonna Sit Right Down And Write Myself A Letter 1||||||||||||y|
I'm In The Mood For Love|Jimmy McHugh||||195|1935||||072,|y||
I'm Just A Lucky So And So|||||363|1945|2||||||
I'm Just A Lucky So-and-so|Duke Ellington||||||||||y||
I'm Just Wild About Harry|||||964|1921|||||||
I'm Old Fashioned|Jerome Kern||||250|1942|3-133|||055,|y||
I'm Putting All My Eggs In One Basket|Irving Berlin||||884|1936|2||||y||
I'm Sitting On Top Of The World|Louis-Henderson-Young||||||||||y||
I'm Through With Love|Kahn-Malneck-Livingston||||||3-134||||y||
I'm Thru With Love|||||636|1931||||072,|||
I'm Your Pal|||||||1-221||||||
I'm Yours|||||794|1930|||||||
I'se A Muggin||||||||||||y|
I've Found A New Baby|Palmer-Williams||||78|1926|2-178||||y||
I've Got A Crush On You|George Gershwin||||487|1930|3-135||y||y||
I've Got A Feeling I'm Falling|||||702|1929|||||||
I've Got My Love To Keep Me Warm|Irving Berlin||||904|1937|3||||y||
I've Got The World On A String|Harold Arlen||||184|1932|3-136|2|||y||
I've Got You Under My Skin|Cole Porter||||160|1936|3-138||y|112,117,|y||
I've Grown Accustomed To Her Face|Frederick Loewe||||304|1956|3|||025,|y||
I've Grown Accustomed To Your Face|||||||3-140||||||
I've Had My Moments||||||||||||y|
I've Heard That Song Before|Jule Styne||||||||||y||
I've Never Been In Love Before|Frank Loesser||||465|1950|3-141|2|||y||
I've Told Eve'ry Little Star|Jerome Kern||||||||||y||
Icarus|||||||1-206||||||
Ice Cream Konitz|||||||2-149||||||
Ictus|||||||1-38||||||
Ida Lupino|||||||1-210||||||
Idaho|||||955|1942||||089,||y|
Idle Moments|Grant Green||||||||||y||
Idol Gossip|||||||2-153||||||
If Dreams Come True|||||491|1934|||||||
If Ever I Would Leave You|Frederick Loewe||||||||||y||
If I Could Be With You|James Johnson||||||||||y||
If I Could Be With You (One Hour Tonight)|||||155|1926|||||||
If I Didn't Care|Jack Lawrence||||||||||y||
If I Had You|Campbell-Connelly-Shapiro||||65|1928|||||y||
If I Loved You|Richard Rodgers||||788|1945|2-154||||y||
If I Only Had A Brain||||||||||||y|
If I Should Lose You|Ralph Rainger||||179|1935|2-155|||022,|y||
If I Were A Bell|Frank Loesser||||466|1950|2-156|1||046,|y||
If It Ain't Love||||||||||||y|
If There Is Someone Lovelier|Dietz-Schwartz||||||||||y||
If You Could See Me Now|Tadd Dameron||||127|1946|2-157|3||072,099,|y||
If You Ever Should Leave|Cahn-Chaplin||||||||||y||
If You Never Come To Me|Antonio-Carlos Jobim||||||1-212||||y||
Iii Wind|||||||3-142||||||
Ill Wind|Harold Arlen||||234|1934|3|2||046,|y||
Imagination|Jimmy Van-Heusen||||178|1939|2-162|1||023,058,|y||
Impressions|John Coltrane||||771|1961|1-220|2||028,054,|y||
Impromptu||||||||||||y|
In A Capricornian Way|||||||3-143||||||
In A Little Spanish Town|Wayne-Lewis-Young||||667|1926|3||||y||
In A Mellow Tone|In A Mellotone) |y|y||140|1940|1-222|3||048,|y||
In A Sentimental Mood|Duke Ellington|||y|19|1935|1-223|3||012,|y||
In A Shanty In Old Shanty Town|Little-Siras||||||||||y||
In Case You Haven't Heard|||||||2-164||||||
In Her Family|||||||3-144||||||
In Love In Vain|Leo Robin Jerome Kern||||||3-145||||y||
In Pursuit Of The 27th Man|||||||2-167||||||
In The Cool, Cool, Cool Of The Evening|Hoagy Carmichael||||||||||y||
In The Days Of Our Love|||||||3-146||||||
In The Garden||||||||||||y|
In The Mood|||||775|1939|1||||||
In The Still Of The Night|Cole Porter||||209|1937|2|||112,117,|y||
In The Wee Small Hours Of The Morning|Mann-Hilliard||||340|1955|1|2|||y||
In Walked Bud|Thelonious Monk||||495|1947|2-168|1||056,|y||
In Your Own Sweet Way|Dave Brubeck||||223|1955|1-232|2||105,|y||
In Your Quiet Place|||||||1-233||||||
Incentive|||||||2-165||||||
Inchworm|||||||1-224||||||
Indian Lady|||||||1-225||||||
Indian Summer| Victor-Aldubin-Herbert||||267|1919|3-148||y|039,|y||
Indiana|Back Home Again In) ||||||2-166||||y||
Indiana (Back Home Again In Indiana)|||||41|1917|2|||006,061,080,084,100,123,|||
Indifference||||||||||||y|
Infant Eyes|Wayne Shorter||||||||||y||
Inner Urge|Joe Henderson||||||1-229||||y||
Insensiblement||||||||||||y|
Inside In|||||||1-226||||||
Interplay|Bill Evans||||||1-230||||y||
Intrepid Fox|||||||1-231||||||
Invitation|Bronislau Kaper|y|y||252|1952|1-234|3||034,059,|y||
Iris|Wayne Shorter||||||1-236||||y||
Irresistable You|Gene DePaul||||||||||y||
Irv's At Midnight|||||||3-149||||||
Is It Really True|||||||2-171||||||
Is You Is Or Is You Ain't|Ma' Baby) ||||||||||y||
Is You Is Or Is You Ain't My Baby|||||805|1943|1||||||
Isfahan|Strayhorn-Ellington||||718|1964|3-150|2||066,|y||
Island Birdie|||||||2-170||||||
Isn't It A Lovely Day|To Be Caught In The Rain) ||||||||||y||
Isn't It A Pity|George Gershwin||||||||||y||
Isn't It Romantic|Richard Rodgers||||337|1932|1-238||||y||
Isn't She Lovely|||||763|1976|||||||
Isotope|Joe Henderson||||||1-239||||y||
Israel|John Carisi|y|y|y|||1-240||||y||
It Ain't Necessarily So|George Gershwin||||420|1935|||y||y||
It All Depends On You|||||937|1926|3||||||
It Came Upon A Midnight Clear|||||989|1850||||125,|||
It Could Happen To You|Jimmy Van-Heusen||||60|1944|2-172|||022,|y||
It Don't Mean A Thing|Duke Ellington||||84|1932|1-241|2||059,|y||
It Had To Be You|Isham Jones||||361|1924|2-173||y|107,|y||
It Had To Be You 1||||||||||||y|
It Might As Well Be Spring|Richard Rodgers||||114|1945|2-176|||025,|y||
It Never Entered My Mind|Richard Rodgers||||181|1940|3-151||y||y||
It Only Happens When I Dance With You|Irving Berlin||||||||||y||
It Was So Beautiful||||||||||||y|
It's A Big Wide Wonderful World|John Rox||||||||||y||
It's A Blue World|Wright-Forrest||||676|1939|2||||y||
It's A Dance|Michel Petrucciani||||||||||y||
It's A Good Day|Peggy Lee||||||||||y||
It's A Lovely Day Today|Irving Berlin||||||||||y||
It's A Raggy Waltz|||||||1-242||||||
It's A Sin To Tell A Lie||||||||||||y|
It's A Wonderful World|||||778|1939|||||||
It's All Right With Me|Cole Porter||||279|1953|3-152||y|112,|y||
It's Been A Long Long Time|Jule Styne||||||||||y||
It's Been A Long, Long Time|||||962|1945|3||||||
It's De-lovely|Cole Porter||||||||||y||
It's Easy To Remember|Richard Rodgers||||527|1935|1||||y||
It's Impossible|Armando Manzanero||||||||||y||
It's Magic|Jule Styne||||689|1948|||y||y||
It's Only A Paper Moon|Harold Arlen|y|y|y|154|1933|2-175|2|||y||
It's The Talk Of The Town|Jerry Livingston||||255|1933|3|2||095,|y||
It's Wonderful|||||852|1938|||||||
It's You Or No One|Jule Styne|y|y||372|1948|3-154||y|061,068,|y||
J'attendrai||||||||||||y|
J'en Ai Marre||||||||||||y|
Ja-da|||||658|1918||||079,|||
Jackie|||||||2-179||||||
Jackie-ing|Thelonious Monk||||||||||y||
Jaco|Pat Metheny||||||2-180||||y||
James|Pat Metheny||||||||||y||
Japanese Sandman||||||||||||y|
Japanese Waltz, A|||||||3-155||||||
Jardin D'hiver||||||||||||y|
Jazz Me Blues|||||380|1921|||||||
Je Ne Sais Pas|||||||2-182||||||
Jeannie's Song|Marchel Ivery||||||||||y||
Jeannine|Duke Pearson||||||2-181||||y||
Jeep Is Jumpin'|||||738|1938|||||||
Jeepers Creepers|Harry Warren||||308|1938|||||y||
Jelly Roll|||||||1-243||||||
Jersey Bounce|Plater-Bradshaw-Johnson||||801|1941|3-156|1|||y||
Jim|||||870|1941|||||||
Jingle Bells|||||275|1859||||125,|||
Jinrikisha|Joe Henderson||||||1-244||||y||
Jitterbug Waltz|Fats Waller||||200|1942|3-158|3||072,|y||
Jive At Five|||||767|1939|||||||
Jive Samba|||||||3-157||||||
Jody Grind, The|Horace Silver||||||2-183||||y||
Johnny Come Lately|||||834|1944||||066,|||
Jojo Swing||||||||||||y|
Joker, The|Lee Morgan||||||||||y||
Jordu|Duke Jordan||||654|1953|1-245|2|||y||
